[224, 224]_40_8-0.001epoch, loss,acc,precision, recall, f1, auc, kapa, mse, w_mse,              precision_cl, recall_c, f1_c, auc_c, mse_c, isSave,Tue Mar 11 12:02:30 2025
8,0.0,tensor(0.8507, device='cuda:0'),0.2205007928118393,0.029069767441860465,0.036148107988561,0.7745028240894235,-1,0.11252302,0.06243095,[0.625      0.         0.         0.45454545 0.         0.
 0.         0.        ],[0.02293578 0.         0.         0.44117647 0.         0.
 0.         0.        ],[0.04424779 0.         0.         0.44776119 0.         0.
 0.         0.        ],[0.57255117 0.50695166 0.67240386 0.80744231 0.59278518 0.59086595
 0.89824825 0.50027787],[0.23281673 0.14400968 0.08204875 0.05927061 0.05579266 0.02537443
 0.05705491 0.24381633],save state!is best acc and save state! 
10,0.0,tensor(0.8399, device='cuda:0'),0.2188471053933696,0.25726744186046513,0.2054037544173772,0.8064285037654526,-1,0.10828355,0.057319574,[0.41489362 0.         0.         0.68       0.         0.
 1.         0.        ],[0.71559633 0.         0.         0.5        0.         0.
 0.10810811 0.        ],[0.52525253 0.         0.         0.57627119 0.         0.
 0.19512195 0.        ],[0.59259922 0.56696119 0.62123722 0.89324017 0.65837937 0.67627521
 0.92517518 0.53659892],[0.24794246 0.13812988 0.0841918  0.03765236 0.0546511  0.02489294
 0.04728564 0.23152222],save state!
12,0.0,tensor(0.8501, device='cuda:0'),0.10907261343307854,0.0188953488372093,0.03036936213944251,0.7984252519182493,-1,0.10700017,0.058273867,[0.         0.         0.         1.         0.         0.
 0.61538462 0.09090909],[0.         0.         0.         0.11764706 0.         0.
 0.21621622 0.00497512],[0.         0.         0.         0.21052632 0.         0.
 0.32       0.00943396],[0.55284813 0.55863436 0.61965289 0.86269093 0.60069332 0.58113879
 0.86236236 0.54878533],[0.23392765 0.1389399  0.08182809 0.04607969 0.05504779 0.02538737
 0.04776447 0.22702643],save state!
14,0.0,tensor(0.8527, device='cuda:0'),0.23381782945736432,0.050872093023255814,0.07885047434967243,0.7995547766778761,-1,0.10653263,0.057283726,[0.5        0.         0.         0.8        0.         0.
 0.66666667 0.        ],[0.07798165 0.         0.         0.11764706 0.         0.
 0.37837838 0.        ],[0.13492063 0.         0.         0.20512821 0.         0.
 0.48275862 0.        ],[0.56161355 0.57601351 0.62033703 0.86761998 0.60183079 0.58979834
 0.91206206 0.49921933],[0.23278525 0.13889687 0.08283059 0.04462125 0.05523233 0.02503721
 0.04176619 0.23109137],save state!is best acc and save state! 
16,0.0,tensor(0.8494, device='cuda:0'),0.1909468438538206,0.055232558139534885,0.08081008602607735,0.8031078304835885,-1,0.10717625,0.058260985,[0.4        0.         0.         0.42857143 0.         0.
 0.8        0.        ],[0.08256881 0.         0.         0.35294118 0.         0.
 0.21621622 0.        ],[0.13688213 0.         0.         0.38709677 0.         0.
 0.34042553 0.        ],[0.57391838 0.55212665 0.59783235 0.86447839 0.63173004 0.59632266
 0.91286286 0.51227903],[0.23103608 0.13837309 0.08384285 0.05175295 0.0549414  0.02531973
 0.04017494 0.23196892],save state!
18,0.0,tensor(0.8518, device='cuda:0'),0.22714669051878356,0.055232558139534885,0.0879795269330153,0.8112256074456496,-1,0.105208755,0.05669592,[0.46153846 0.         0.         0.8        0.         0.
 0.76923077 0.        ],[0.11009174 0.         0.         0.11764706 0.         0.
 0.27027027 0.        ],[0.17777778 0.         0.         0.20512821 0.         0.
 0.4        0.        ],[0.58076717 0.58807606 0.64817082 0.85700357 0.67175821 0.51625148
 0.91081081 0.54236795],[0.23091549 0.13763377 0.08188421 0.04335516 0.05478759 0.02537059
 0.04089288 0.22683033],save state!
20,0.0,tensor(0.8462, device='cuda:0'),0.2112648494915937,0.1308139534883721,0.1504380717493189,0.7939595125041442,-1,0.11053986,0.061781943,[0.47142857 0.         0.         0.34545455 0.         0.
 0.83333333 0.        ],[0.30275229 0.         0.         0.55882353 0.         0.
 0.13513514 0.        ],[0.36871508 0.         0.         0.42696629 0.         0.
 0.23255814 0.        ],[0.58794817 0.56135222 0.69832925 0.8680533  0.62631351 0.60260973
 0.90850851 0.52241452],[0.23272528 0.13875012 0.07970133 0.07284965 0.0554826  0.02437455
 0.04587072 0.23456462],save state!
